"","10A-16S","10B-16S","10C-16S","10D-16S","10E-16S","16A-16S","16B-16S","16C-16S","16D-16S","16E-16S","1A-16S","1B-16S","1C-16S","1D-16S","1E-16S","2A-16S","2B-16S","2C-16S","2D-16S","2E-16S","3A-16S","3B-16S","3C-16S","3D-16S","3E-16S","4A-16S","4B-16S","4C-16S","4D-16S","4E-16S","5A-16S","5B-16S","5C-16S","5D-16S","5E-16S","6A-16S","6B-16S","6C-16S","6D-16S","6E-16S","8A-16S","8B-16S","8C-16S","8D-16S","8E-16S","D0-16S"
"OTU_755",3,10,4,3,0,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,1,2,3,3,7,2,2,12,4,0,4,5,8,4,2,6,3,4,3,2,5,4,3,10,5,5
"OTU_391",1,0,0,0,4,0,0,0,0,0,0,0,6,2,2,1,5,0,0,22,2,0,41,1,33,0,1,69,0,25,1,21,1,0,42,0,0,8,1,15,0,0,9,0,6,0
"OTU_4866",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
"OTU_3509",1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,2,0
"OTU_1552",4,7,3,2,1,2,2,1,0,1,0,0,0,0,0,1,1,0,3,1,2,2,2,2,0,6,9,1,4,0,7,4,3,6,0,7,7,1,8,4,3,1,3,7,3,12
"OTU_4873",1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,2,0,0,0
"OTU_4201",1,0,3,1,2,1,0,0,0,1,375,426,390,628,77,173,388,14,45,222,90,34,247,28,4,42,20,128,23,10,14,38,20,18,1,2,1,13,1,3,3,1,11,2,0,2
"OTU_3673",1,6,3,2,7,1,1,6,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,2,0,3
"OTU_3498",2,0,0,0,0,0,0,1,0,0,2,12,1,5,1,5,12,2,7,4,2,6,6,1,0,10,5,6,15,0,4,1,3,12,0,1,4,1,4,0,1,1,5,1,1,0
"OTU_3907",2,2,0,4,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,3,0,0,0,1,1,1,0,1,3,2,0,0,2,0,5,3,1,4
"OTU_674",7,36,1,9,2,29,5,1,7,2,0,1,0,0,0,2,2,4,3,1,4,7,0,3,1,18,5,2,17,0,4,3,6,12,0,33,6,2,16,0,29,0,5,23,5,0
"OTU_1061",2,3,0,1,1,0,0,1,0,1,0,0,0,0,0,5,3,1,5,4,5,7,3,2,0,2,2,5,3,1,1,1,5,3,0,2,1,2,4,1,1,0,2,1,4,1
"OTU_2490",1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_718",3,24,0,2,2,10,1,2,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,5,0,2,2,0,6,0,46,7,0,14,0,15,3,0,11,0,0
"OTU_2191",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,4
"OTU_587",10,17,8,4,18,2,5,3,4,14,7,14,2,6,0,5,24,0,4,3,9,22,15,8,7,7,11,15,8,2,9,14,6,8,1,1,1,15,5,29,4,4,16,9,16,48
"OTU_680",5,0,18,2,11,0,1,8,0,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,1,0,0,0,1,0,0,14,0,0,3,0,23,0,0,9,0,37,0
"OTU_889",1,4,0,1,0,1,0,0,0,1,3,5,2,0,0,6,3,11,30,5,5,37,2,26,2,15,7,4,21,0,9,1,7,11,0,8,2,1,9,0,4,4,1,2,3,3
"OTU_1387",1,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,2,1,1,0,2,0,0,1,1,0,0,0,1,2,0
"OTU_413",6,29,2,11,4,5,3,0,0,0,1,0,3,5,1,4,2,1,9,4,4,25,1,15,1,25,13,9,14,1,11,5,10,33,0,25,13,1,15,3,32,5,10,23,3,0
"OTU_4749",2,0,21,1,12,5,13,25,1,49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,4,3,0,2,0,0,11,0,16,0,0,10,0,5,0
"OTU_1943",11,29,28,18,12,57,10,14,7,31,0,0,1,0,6,2,3,0,4,5,4,6,9,9,15,23,22,5,6,2,21,23,28,46,7,13,16,12,20,16,18,6,29,46,23,8
"OTU_2526",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,1,1,0,0,0,6,0,1,0,0,0,0,1,0,0,1,0,1
"OTU_670",9,23,11,6,3,4,5,0,2,0,5,4,12,4,38,10,13,7,15,7,12,35,13,43,0,33,23,25,33,4,13,20,16,58,0,27,17,9,14,0,25,7,21,31,2,1
"OTU_818",3,5,2,1,4,1,0,1,0,2,1,1,1,0,0,3,2,0,3,0,0,3,5,1,0,1,2,2,4,1,1,2,1,3,1,4,1,3,5,1,1,0,2,2,3,106
"OTU_956",7,24,3,1,2,25,4,0,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,1,2,3,1,0,2,3,3,3,0,1,3,6,5,0,0
"OTU_352",5,16,1,20,3,1,2,0,1,0,0,0,0,0,0,1,1,3,9,0,10,21,0,15,0,35,15,4,27,0,19,0,9,32,1,34,8,2,58,0,16,4,1,21,1,0
"OTU_2555",1,0,1,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2044",2,3,0,0,3,4,3,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,4,0,4,1
"OTU_630",4,12,1,2,2,2,0,1,3,0,5,5,0,2,0,9,4,5,14,7,10,15,2,8,0,9,6,2,11,1,3,2,1,7,0,21,4,1,37,2,4,1,0,4,1,1
"OTU_1548",4,4,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,5,0,1,0,2,5,2,0
"OTU_4592",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"OTU_1620",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,1,0,3,4,0,2,0,2,2,0,0,0
"OTU_4276",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_769",1,1,6,1,4,1,2,3,0,1,0,0,0,0,0,0,2,0,0,0,1,2,1,0,0,0,0,0,1,0,2,0,3,3,0,0,10,14,8,3,3,1,19,11,2,1
"OTU_1057",2,11,0,1,0,3,1,1,1,1,2,0,0,0,1,2,0,0,4,2,4,7,4,18,1,20,6,2,12,0,2,5,0,16,0,22,3,0,10,0,10,3,2,8,1,1
"OTU_2552",1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,2,0,0,0,0,1,0,5,0,0,4,1,2,0,0,1,0,0
"OTU_1240",4,5,4,1,10,5,9,4,2,11,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,3,5,1,2,1,1,2,0,0,2,3,0,3,2,10
"OTU_1330",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,3,4,0,5,0,5,4,1,7,0,6,1,1,1,0,1,0,0,3,1,0,1,0,0,0,0
"OTU_575",3,3,2,4,2,3,3,2,0,4,3,9,10,3,20,12,18,5,8,8,4,13,11,24,2,10,14,21,23,2,12,10,8,27,0,12,7,4,6,2,8,5,11,11,0,0
"OTU_2452",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,1,0,0,0
"OTU_2379",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0,0,1,0,2,0,0,0,0,0
"OTU_1439",1,1,4,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,1,0,1,7,1,3,0,0,2,2,4,0
"OTU_486",1,1,4,1,5,1,2,1,1,4,4,2,0,0,2,2,2,0,3,9,22,11,1,13,40,2,10,7,3,1,26,7,14,17,5,7,6,7,4,14,3,1,4,4,13,0
"OTU_2385",1,1,0,1,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,4,8
"OTU_3789",5,20,1,3,4,6,2,5,4,2,0,1,0,0,0,4,11,2,3,3,3,12,6,11,1,4,3,6,5,0,2,9,4,3,3,3,3,7,4,3,4,3,6,5,3,62
"OTU_1166",5,10,0,3,0,1,3,1,0,0,0,0,0,0,0,1,0,1,1,0,0,5,1,1,0,3,2,1,9,1,4,0,5,4,0,11,5,0,7,2,2,4,0,3,1,1
"OTU_765",3,7,6,2,6,2,1,5,1,5,9,15,4,11,0,3,13,1,1,6,7,9,5,7,4,1,3,6,4,0,7,19,5,4,8,2,1,15,1,16,2,1,9,1,7,3
"OTU_2945",1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0
"OTU_2059",1,0,0,0,1,3,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
"OTU_4827",2,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,0,3,1,0,1,0,0,2,0,1,0,0,1,0,0,0
"OTU_1348",3,31,2,0,0,7,4,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,1,0,0,0
"OTU_1601",2,1,1,1,0,1,0,0,1,0,3,0,0,0,5,0,1,0,0,4,0,3,1,1,1,2,5,1,5,2,3,2,2,6,0,4,1,0,4,1,0,0,2,7,0,0
"OTU_4020",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,5
"OTU_1674",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,2,0,2,0,2,1,1,6,0,6,0,0,3,0,1,0,0,4,0,0
"OTU_3845",3,7,4,1,2,4,1,4,2,3,3,0,0,0,1,1,5,2,1,4,2,2,3,4,2,5,4,1,1,1,2,4,8,4,1,2,1,4,5,3,3,4,1,2,1,28
"OTU_740",5,21,7,3,4,7,6,4,5,14,1,0,0,0,0,0,1,0,2,0,2,2,0,0,1,2,2,0,3,0,1,2,3,2,0,6,0,3,3,2,6,1,2,6,4,13
"OTU_1391",1,11,1,0,0,0,0,1,0,0,2,3,0,2,0,1,0,1,0,0,0,3,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,2,2,0,1,0,0
"OTU_2275",6,3,3,3,2,2,1,2,0,0,1,2,0,0,0,1,1,0,1,0,2,6,3,4,0,7,6,2,10,0,8,3,9,12,0,15,2,2,15,3,5,3,1,6,10,3
"OTU_1862",1,3,0,0,0,1,0,0,0,0,0,1,0,0,1,2,1,1,4,0,6,7,1,4,0,1,0,2,8,2,1,2,3,4,0,2,0,1,4,0,2,0,1,0,2,3
"OTU_4388",2,2,27,0,31,1,3,28,0,69,0,1,0,0,1,0,2,0,0,4,1,0,1,1,15,0,0,2,0,2,3,5,7,2,24,0,1,16,1,43,0,0,7,1,43,0
"OTU_1534",3,3,5,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,1,0,0,0,3,0,0,2,1,0,2,5,2,0
"OTU_1763",2,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,3,1,1,1,0,2,0,1,0,0,1,1,1,0,2,0,0,1,0,3,0,0,2,1,16
"OTU_4713",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"OTU_1305",1,4,2,0,1,1,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,1,0,1,0,0,1,4,0,0,1,1,0,1,2,2,1,2,1,1,10
"OTU_4084",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
"OTU_5037",1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,2,2,0,0,5,0,3,0
"OTU_861",1,2,0,0,0,0,0,0,0,0,1,3,0,1,0,19,1,4,18,5,5,12,1,10,0,5,0,1,8,1,3,0,0,4,0,4,0,0,5,0,1,1,0,0,0,0
"OTU_1532",3,5,0,3,3,1,0,0,1,1,0,0,1,0,0,4,0,1,9,3,1,5,0,1,0,7,4,4,9,0,4,1,0,6,0,3,1,0,4,0,5,1,0,2,0,0
"OTU_1245",4,7,0,6,2,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,12,1,2,0,3,4,5,0
"OTU_2565",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
"OTU_474",2,11,6,4,7,3,2,2,3,5,4,3,1,1,1,8,16,2,5,4,7,9,9,8,3,6,9,6,4,6,4,7,7,9,0,11,1,6,9,4,9,1,5,8,4,110
"OTU_2082",1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,3
"OTU_633",6,22,2,3,3,6,2,5,1,2,0,3,2,0,1,1,3,2,1,3,2,14,3,7,2,5,9,3,11,0,2,9,7,6,2,16,5,3,7,2,3,5,4,5,8,13
"OTU_2420",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,2,1,0,2,1,1,4,0,2,1,1,2,0,0
"OTU_4550",6,12,11,5,1,0,0,0,1,1,3,12,18,90,22,2,15,1,4,6,20,1,7,6,21,4,6,4,8,0,2,13,10,33,4,1,1,14,5,2,22,7,4,13,6,1
"OTU_1365",3,0,2,0,2,0,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,5,0,1,1,0,5,0
"OTU_519",2,0,2,7,11,0,0,0,0,0,0,0,0,0,6,0,0,0,1,4,1,0,1,1,15,18,2,0,2,6,1,0,4,7,13,0,1,0,10,38,0,0,1,5,20,0
"OTU_1028",1,1,1,1,2,1,1,1,0,0,1,1,2,0,1,2,3,0,1,3,3,7,1,3,0,1,1,0,5,1,2,5,3,2,0,6,0,1,3,0,2,2,2,1,1,4
"OTU_2788",2,1,0,1,1,1,1,0,0,1,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,3,0,1,2,0,0,0,0,7
"OTU_2008",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,2,0,0,0,0,0,0,2
"OTU_3551",2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
"OTU_757",1,12,1,1,5,2,2,2,0,1,4,4,4,0,0,1,29,2,2,2,2,3,3,2,0,3,1,6,5,1,3,6,1,2,1,2,0,1,3,0,2,0,1,5,3,10
"OTU_822",4,7,4,2,6,5,1,2,0,2,0,2,1,3,1,6,5,2,2,1,0,3,0,4,1,2,3,2,6,0,1,4,6,4,0,11,3,3,8,1,0,2,5,6,6,16
"OTU_4869",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"OTU_2647",4,6,0,4,1,0,1,0,0,4,327,301,132,260,78,218,145,45,171,298,96,125,66,127,6,39,53,50,58,9,45,24,31,59,0,18,25,5,35,1,9,1,10,11,2,0
