"","10A-16S","10B-16S","10C-16S","10D-16S","10E-16S","16A-16S","16B-16S","16C-16S","16D-16S","16E-16S","1A-16S","1B-16S","1C-16S","1D-16S","1E-16S","2A-16S","2B-16S","2C-16S","2D-16S","2E-16S","3A-16S","3B-16S","3C-16S","3D-16S","3E-16S","4A-16S","4B-16S","4C-16S","4D-16S","4E-16S","5A-16S","5B-16S","5C-16S","5D-16S","5E-16S","6A-16S","6B-16S","6C-16S","6D-16S","6E-16S","8A-16S","8B-16S","8C-16S","8D-16S","8E-16S","D0-16S"
"OTU_4739",2,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,3,0,1,2,1,2,0,3,1,0,0,0,1,4
"OTU_495",13,22,1,13,4,15,2,5,4,2,0,0,2,0,2,19,0,3,20,4,15,11,6,26,1,26,17,2,36,1,18,3,5,29,0,32,10,0,33,0,27,7,7,30,4,0
"OTU_2",1675,1093,1030,1697,1291,1480,1171,812,332,1922,10,94,4,15,485,59,113,1,76,263,261,145,501,352,668,742,467,740,392,418,1369,1597,1360,2574,390,1286,1413,803,1913,968,1493,449,2039,4574,2453,0
"OTU_64",211,107,157,71,134,347,143,70,93,96,0,0,0,0,0,4,9,0,0,2,3,5,5,2,6,3,10,34,3,1,4,23,94,9,29,30,65,172,43,78,120,38,231,160,195,18
"OTU_30",89,48,55,97,111,49,48,46,3,91,2,341,39,26,736,50,111,2,30,110,116,60,374,78,557,140,187,255,123,157,196,218,118,310,159,164,287,198,329,188,93,34,256,262,365,1
"OTU_10",1311,1133,979,442,1070,772,741,777,315,1596,21,12,35,38,25,125,332,41,182,378,535,745,598,663,389,456,908,945,456,140,1217,1508,1816,1451,466,643,1069,1561,900,1033,809,414,1442,1145,1390,23
"OTU_743",21,42,6,17,6,10,2,1,1,8,0,1,0,0,1,6,4,1,0,1,7,12,4,10,2,11,5,3,14,1,9,4,14,17,0,43,12,4,35,0,21,9,10,31,9,18
"OTU_94",153,78,91,24,332,31,28,12,9,47,0,0,0,0,0,0,2,0,0,5,14,4,5,0,134,0,9,34,2,0,3,65,58,19,164,0,28,137,2,262,15,16,158,62,358,15
"OTU_129",130,38,110,73,193,68,57,59,14,169,1,1,0,0,0,1,1,0,0,3,3,7,6,10,21,14,21,15,13,1,28,48,70,41,16,45,82,80,112,81,51,21,169,159,281,1
"OTU_130",35,3,18,33,17,9,23,6,0,19,18,32,9,35,5,31,25,0,16,80,103,33,101,49,98,43,37,159,56,73,96,175,156,134,42,51,52,31,73,52,60,13,52,83,25,0
"OTU_75",31,129,35,105,68,36,41,10,8,35,28,20,6,27,14,57,28,18,17,57,70,81,33,40,497,213,353,95,285,9,243,80,280,227,101,73,111,60,222,223,111,64,74,255,662,31
"OTU_68",186,201,79,92,113,136,140,81,64,183,3,22,9,19,22,11,43,3,11,40,86,130,73,116,85,58,87,62,38,32,92,135,285,153,85,54,71,123,41,109,66,48,85,205,86,0
"OTU_4597",4,6,2,2,2,4,1,1,0,1,1,1,0,0,0,3,5,4,8,1,4,6,1,5,0,9,11,0,13,1,5,2,10,10,0,12,4,0,13,4,4,3,3,8,4,5
"OTU_31",150,102,133,95,178,56,90,71,20,189,1,4,1,1,42,25,21,4,47,90,111,82,168,117,230,148,142,196,130,98,304,413,354,352,75,145,129,288,244,135,95,45,207,259,257,0
"OTU_42",372,65,108,151,183,74,121,97,17,308,0,0,0,1,28,11,5,6,19,68,29,29,167,60,565,114,93,203,101,125,173,461,212,270,298,452,280,350,827,481,378,52,458,465,501,1
"OTU_3617",27,21,93,5,77,20,49,80,10,197,0,0,0,0,7,2,1,0,2,5,2,2,1,1,39,0,4,7,3,8,3,25,30,8,34,1,8,36,14,72,6,6,21,17,64,20
"OTU_186",89,206,62,24,46,48,27,42,16,35,31,42,9,9,12,64,180,43,62,49,88,216,77,70,11,49,96,79,94,19,49,123,123,55,11,123,92,98,111,39,81,40,67,93,62,550
"OTU_774",6,21,4,3,4,5,3,0,3,2,0,2,0,1,0,3,4,0,5,0,5,14,0,2,0,6,8,6,14,3,3,5,13,7,1,5,6,8,6,4,6,4,1,8,7,28
"OTU_72",236,278,34,116,172,93,109,24,41,102,13,15,1,6,2,71,27,37,93,38,57,150,39,193,4,260,123,77,247,6,125,77,97,237,0,266,84,45,440,7,187,84,83,265,81,0
"OTU_535",5,15,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,5,0,15,5,0,12,0,6,2,5,6,0,29,4,0,31,1,13,8,1,17,2,0
"OTU_1878",2,0,9,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"OTU_4631",128,72,124,29,188,134,170,171,37,238,2,3,1,0,1,2,9,1,6,11,8,18,27,4,33,6,44,36,5,6,44,112,232,25,56,10,72,126,32,146,40,24,175,36,257,1
"OTU_3253",275,35,83,10,83,5,9,21,8,44,0,0,0,0,1,0,0,0,0,1,9,1,1,0,40,2,2,3,0,1,1,56,28,4,53,0,6,153,1,63,3,5,171,37,115,5
"OTU_13",925,466,100,407,1470,164,103,67,49,278,105,31,6,10,1,89,61,15,46,110,54,68,35,45,6,167,729,108,236,13,332,116,265,273,18,190,957,207,677,372,646,138,728,831,2022,1
"OTU_4563",86,409,44,107,35,122,41,18,17,33,54,41,11,21,9,159,102,73,167,130,149,296,69,227,26,288,346,78,401,16,373,127,200,385,15,357,196,74,451,45,251,82,89,275,116,81
"OTU_9",259,699,80,268,109,161,63,118,29,297,0,1,0,1,14,3,8,1,5,30,54,85,78,75,171,200,333,167,151,65,383,553,540,770,47,614,258,283,990,104,596,202,456,1391,183,0
"OTU_149",65,142,43,33,24,51,44,40,22,104,0,0,0,0,0,0,1,0,2,1,3,2,2,1,6,13,13,9,12,2,16,50,74,48,3,52,15,30,65,14,77,37,76,125,19,0
"OTU_311",27,47,1,31,5,5,7,0,1,2,2,1,0,0,0,36,3,14,59,8,17,43,8,44,0,78,31,6,67,3,60,9,18,86,0,38,22,1,100,0,43,9,15,77,2,0
"OTU_190",36,57,17,35,7,25,6,12,3,8,0,0,0,0,0,0,1,0,3,1,7,7,1,7,0,16,9,0,23,2,24,1,9,17,0,104,18,22,154,3,71,23,24,110,17,2
"OTU_133",127,149,81,37,83,99,69,59,24,156,0,0,0,0,1,1,0,0,1,1,6,22,11,10,8,12,43,19,17,4,37,68,117,33,14,57,103,62,84,15,66,62,125,129,80,16
"OTU_52",154,66,209,29,238,54,25,37,14,60,0,1,1,1,0,3,5,1,1,3,4,3,9,1,154,6,14,48,10,1,12,48,72,13,122,15,21,279,30,349,28,34,301,84,937,32
"OTU_687",5,8,2,5,3,5,1,1,0,1,2,4,1,0,0,2,1,1,6,2,3,23,0,17,3,7,5,5,8,1,8,6,8,12,1,18,6,2,13,2,10,2,4,10,4,24
"OTU_124",38,80,31,25,40,37,18,25,6,38,6,17,3,6,4,22,58,9,21,15,28,76,23,32,9,29,55,29,42,7,29,52,39,32,6,57,22,47,45,30,33,19,25,51,53,790
"OTU_1554",87,174,130,64,86,79,44,48,16,84,2,8,3,7,54,8,28,0,10,39,72,69,59,74,91,46,157,129,70,34,127,235,169,230,37,111,191,130,111,87,96,65,246,212,129,18
"OTU_187",74,123,68,32,80,83,49,61,29,85,0,0,0,0,0,0,0,0,0,1,2,9,5,1,6,5,13,8,2,1,10,30,48,12,6,26,42,79,32,57,35,33,95,76,88,7
"OTU_245",30,76,25,30,22,23,15,7,3,15,29,25,7,17,3,48,58,27,83,32,63,133,41,89,15,114,133,32,186,14,126,79,110,142,6,93,68,35,127,28,50,21,37,117,74,178
"OTU_100",144,136,40,75,131,91,55,44,23,73,0,0,0,0,0,5,5,3,5,6,10,14,2,4,2,7,26,10,54,0,35,30,47,35,1,98,78,35,162,29,98,39,135,133,170,0
"OTU_393",125,349,18,99,73,102,26,17,42,26,4,4,2,1,0,49,26,28,94,29,40,105,19,81,5,75,73,19,141,1,64,28,51,95,4,307,104,45,469,43,200,57,56,314,79,11
"OTU_1784",6,19,1,6,2,5,2,0,0,4,0,0,1,0,1,0,2,0,3,0,3,5,2,2,1,8,8,1,9,0,8,5,5,6,0,10,9,3,19,2,10,5,5,11,3,2
"OTU_12",330,47,967,108,831,83,400,431,20,1075,2,3,6,5,28,9,29,0,8,164,112,23,297,9,1295,10,44,457,16,283,328,1016,601,303,1180,27,59,956,115,1517,83,40,963,209,921,1
"OTU_53",101,145,70,50,37,81,94,34,19,86,0,2,0,4,2,5,12,0,4,30,129,90,139,53,62,98,108,170,81,31,249,306,304,262,27,122,108,94,137,58,186,55,156,199,77,0
"OTU_24",62,142,1,81,2,11,5,0,3,5,26,41,4,5,7,513,58,244,671,129,369,1021,78,1147,3,688,476,44,983,25,326,88,153,790,0,880,234,15,845,0,353,58,14,317,6,1
"OTU_1437",7,0,0,6,4,1,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,1,10,1,0,0,3,2,2
"OTU_15",268,755,103,162,78,244,104,62,38,112,9,15,1,2,8,99,44,27,65,25,251,479,69,371,4,422,355,146,693,32,343,358,261,610,4,927,370,142,964,12,408,243,262,644,22,1
"OTU_4384",90,5,7,32,34,0,4,2,0,3,1,1,1,2,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,4,0,8,0,3,7,5,1,25,35,17,14,2,14,31,82,0
"OTU_346",4,15,1,14,2,7,10,3,0,3,0,1,0,0,0,0,0,0,0,1,1,9,0,0,0,2,9,3,2,0,28,16,26,6,0,83,10,6,9,0,3,13,9,21,3,0
"OTU_622",42,151,18,34,16,57,11,5,10,12,2,3,0,1,1,10,18,11,30,5,20,39,3,44,1,36,37,15,49,2,31,14,25,69,1,149,57,16,100,10,105,16,34,83,28,30
"OTU_4452",4,9,4,6,5,4,2,3,2,1,4,5,4,6,19,4,3,0,5,4,4,16,1,16,4,11,13,10,12,4,6,10,3,14,2,15,3,8,13,5,8,2,10,14,7,0
"OTU_158",55,84,30,46,25,37,24,16,11,28,10,13,13,10,53,77,32,25,85,82,55,67,32,98,7,195,114,45,173,6,152,88,95,246,5,133,109,24,123,15,80,25,86,125,18,8
"OTU_29",110,312,82,52,121,167,70,66,41,131,32,56,19,22,5,79,404,17,39,84,186,469,187,196,55,119,396,240,205,62,102,297,297,148,48,58,105,218,96,81,62,98,151,192,130,1342
"OTU_5060",5,27,3,12,4,6,3,2,2,3,13,7,11,22,8,16,8,3,8,16,16,20,6,27,19,81,29,21,53,1,43,16,21,62,1,20,6,2,36,9,47,5,8,20,7,0
"OTU_1519",6,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,5,2,0,2,0,2,0,0,3,1,1,1,1,0
"OTU_11",83,15,614,19,575,13,107,227,1,559,28,21,24,31,98,16,112,3,13,358,162,111,393,56,1627,12,128,516,26,423,251,1282,680,228,1680,12,49,752,43,2211,22,25,458,51,695,3
"OTU_285",40,16,30,20,18,6,12,6,0,12,0,0,0,0,0,0,0,0,0,0,1,0,1,1,21,0,8,8,6,4,10,34,35,9,23,6,0,41,5,27,14,2,48,38,30,0
"OTU_26",358,240,324,119,253,76,178,95,29,291,2,41,2,2,35,10,20,0,0,23,226,117,190,55,382,26,151,331,102,104,371,700,484,341,285,88,149,501,201,408,191,71,402,243,309,0
"OTU_61",86,22,175,38,232,60,121,169,13,358,0,0,0,0,0,0,0,0,0,0,2,0,1,1,19,0,4,8,1,1,8,68,73,7,28,8,3,57,20,97,25,7,129,38,401,0
"OTU_1850",3,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,1,0,0,0,2,2,0,0,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0
"OTU_2459",111,100,39,74,39,77,74,31,15,42,29,113,8,6,0,140,61,16,70,105,105,84,90,93,18,139,182,143,151,21,185,162,241,211,3,176,166,90,211,27,139,64,221,189,106,0
"OTU_1807",2,1,5,0,5,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,3,0,3,0,1,1,0,3,0
"OTU_66",7,8,22,4,7,3,5,1,0,9,113,104,111,135,821,79,115,29,69,185,26,70,94,56,121,27,33,104,36,36,57,45,57,34,33,19,24,22,21,136,26,8,40,20,47,0
"OTU_4403",30,58,59,13,29,16,13,8,1,14,72,73,85,72,826,34,68,31,64,98,44,81,96,81,77,65,59,81,62,32,69,90,107,130,20,113,42,66,64,33,71,11,102,70,63,0
"OTU_432",93,5,16,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,32,0,0,12,0,0,0,46,1,5,16,0,6,13,2,9,9,1,10,9,7,0
"OTU_122",54,39,3,77,63,13,20,3,7,44,0,0,0,1,1,14,2,8,52,24,20,22,5,65,2,114,41,11,70,5,85,17,37,137,0,71,24,9,271,4,54,23,28,223,58,0
"OTU_342",63,216,44,72,30,56,26,23,16,38,24,30,7,5,5,46,93,46,46,40,55,228,26,104,10,134,158,35,201,9,129,91,141,155,8,244,114,50,181,35,99,50,67,158,58,257
"OTU_21",296,750,40,175,105,177,79,49,61,101,4,4,0,1,2,43,11,22,53,17,60,127,17,137,2,289,163,39,379,4,215,72,126,241,1,983,86,52,1072,23,513,168,183,666,38,0
"OTU_44",269,229,302,110,296,91,230,266,28,641,0,0,0,0,7,0,1,1,0,11,2,6,13,4,215,6,23,69,2,29,43,364,273,83,90,33,84,257,79,320,117,72,635,247,748,0
"OTU_6",596,560,324,1003,223,568,359,158,84,233,12,27,7,14,43,112,114,29,102,96,448,407,446,593,58,952,1030,598,1044,82,1769,852,1193,1808,32,1320,1455,372,1097,78,1046,299,886,2263,273,4
"OTU_43",103,464,35,110,35,46,33,42,26,94,1,1,1,3,275,2,5,2,16,19,76,75,11,189,156,258,186,23,158,20,163,110,231,457,45,333,180,73,701,97,282,145,73,561,62,1
"OTU_19",350,361,301,145,319,171,185,147,38,355,5,8,1,0,88,7,24,0,16,147,98,63,298,48,546,79,80,634,74,367,331,854,605,386,268,179,195,488,220,492,368,107,542,560,486,2
"OTU_84",162,190,49,91,135,94,49,31,20,50,4,0,0,2,0,67,34,31,105,27,53,142,20,86,1,89,91,22,142,3,71,22,86,106,3,188,100,97,315,31,156,50,151,165,97,0
"OTU_76",65,109,39,44,61,25,21,10,7,27,91,84,10,35,7,258,172,82,242,190,257,398,121,229,52,226,209,122,375,47,194,182,219,279,33,189,122,92,207,58,106,48,111,146,115,19
"OTU_1053",4,2,1,1,3,3,1,2,0,3,1,1,0,2,0,4,1,0,0,1,1,5,2,3,0,3,4,0,1,1,2,1,2,0,0,1,0,2,1,1,2,1,1,1,2,20
"OTU_2364",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_886",17,2,4,2,6,12,7,1,1,1,0,0,0,0,0,0,1,0,0,0,2,1,4,2,0,0,0,7,1,1,4,10,3,2,1,3,1,4,2,2,4,0,10,4,2,0
"OTU_227",15,0,13,1,58,14,20,24,2,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,13,9,2,3,2,0,10,3,31,3,1,18,11,88,0
"OTU_892",5,4,3,2,2,3,0,1,0,0,1,0,0,0,0,1,2,1,0,2,1,5,0,2,1,3,5,0,1,0,0,0,2,3,1,9,4,0,7,0,13,3,2,9,0,1
"OTU_1326",5,0,3,0,6,1,1,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,2,0,1,0
"OTU_1",765,437,825,853,987,415,442,343,122,708,622,1085,924,1809,484,2836,3795,233,2738,4792,3501,2497,5532,2610,2625,1924,2024,5572,1658,1417,4112,3680,2977,4342,1653,743,1503,2027,1020,2509,893,303,1457,2006,2167,24
"OTU_110",134,47,270,31,271,80,121,197,24,420,0,1,3,2,29,0,10,0,0,38,21,3,80,7,191,3,19,146,6,47,60,277,136,61,106,15,38,193,83,231,41,19,244,69,296,7
"OTU_3487",127,226,20,72,34,71,16,16,11,30,36,25,4,12,1,144,61,80,168,33,106,273,33,190,11,319,155,43,381,12,160,63,74,246,5,377,53,39,375,28,229,59,55,238,58,30
"OTU_343",21,85,7,17,10,21,2,3,6,5,0,5,0,0,1,17,14,10,23,6,9,50,3,29,4,56,37,5,61,1,33,8,30,43,1,106,31,10,60,6,37,9,14,46,8,30
"OTU_4",1343,707,876,781,1609,1083,996,810,337,1775,2,7,8,12,389,16,74,5,25,341,111,79,340,51,1093,90,326,632,131,340,838,725,1301,926,681,683,1245,973,510,1304,821,243,1144,1827,3063,40
"OTU_691",8,9,29,0,16,5,9,26,3,41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,6,4,0,2,0,0,3,0,16,1,3,12,5,7,1
"OTU_1030",67,1,11,0,0,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,4,0,1,0,0,0,0,0
"OTU_115",125,102,84,22,31,44,49,33,6,37,1,0,1,0,0,0,6,0,0,0,10,5,39,0,64,1,31,47,6,2,48,102,167,38,28,36,197,125,32,53,48,48,216,64,86,0
"OTU_20",323,600,78,254,97,194,83,33,67,55,81,96,7,27,2,261,148,165,357,97,307,582,138,444,13,721,411,169,655,20,443,226,300,643,14,663,168,170,788,49,410,136,178,681,83,32
"OTU_28",76,44,74,66,85,22,35,22,2,67,3,11,4,3,236,15,62,1,27,186,166,45,363,80,437,153,114,457,129,217,288,511,298,362,137,124,244,239,295,172,117,28,239,214,174,0
"OTU_4496",8,0,328,2,84,1,14,7,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,73,0,0,0,1,3,0,2,6,0,33,0,0,18,1,56,1,1,11,7,59,2
"OTU_222",32,89,2,23,1,11,6,1,1,3,1,0,1,0,0,6,2,7,12,3,15,40,3,27,1,47,20,1,63,0,30,4,16,44,0,153,48,3,152,3,50,13,6,67,0,1
"OTU_3153",44,12,48,22,42,7,24,7,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,43,0,1,1,0,1,0,6,1,5,6,1,0,31,1,30,20,4,63,26,60,4
"OTU_508",20,7,31,2,22,2,5,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,22,13,0,16,0,0,18,0,5,3,1,13,3,18,0
"OTU_2047",13,32,9,8,10,8,2,4,1,8,4,10,3,1,0,36,14,11,55,14,21,46,10,32,0,40,23,8,41,5,24,4,15,27,1,68,18,4,136,3,30,13,1,43,7,2
"OTU_357",29,9,67,3,32,10,30,25,3,63,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,3,0,0,4,16,41,0,10,0,5,41,1,34,2,6,37,8,63,0
"OTU_1089",15,29,6,7,5,18,5,2,1,4,1,0,0,0,0,4,9,0,1,2,3,6,2,3,1,1,2,3,4,0,2,7,3,2,1,13,3,3,16,3,10,3,6,9,2,39
"OTU_5",343,337,576,268,851,224,132,129,60,294,307,619,186,336,41,639,807,148,640,777,664,594,767,668,531,676,556,1191,500,154,884,1031,841,1124,304,164,178,991,383,1158,260,93,731,555,1322,10
"OTU_89",32,3,21,8,35,3,10,4,0,11,23,46,41,33,12,134,164,11,84,250,81,55,162,29,415,45,54,116,53,23,59,75,61,58,183,23,44,79,27,148,12,4,77,25,195,0
"OTU_193",19,21,44,2,27,9,4,4,0,15,42,51,32,57,358,21,30,13,29,58,29,23,52,32,51,26,19,36,43,29,44,69,56,60,29,56,12,37,31,38,35,5,31,38,65,0
"OTU_7",290,391,689,137,696,179,212,365,61,583,149,323,210,276,162,637,1210,200,905,943,611,1125,783,764,627,442,809,1171,424,264,731,1772,1185,890,498,234,741,1515,470,1240,256,206,884,486,1138,20
"OTU_114",42,14,50,15,91,14,21,60,4,149,0,0,0,0,24,0,0,0,0,6,2,1,20,2,175,2,6,62,1,32,16,164,78,19,127,8,10,156,41,157,22,4,95,31,191,0
"OTU_830",24,24,33,19,29,14,3,4,1,29,8,12,10,6,22,18,4,4,7,18,13,25,9,12,14,30,32,12,42,4,62,13,25,44,5,43,15,8,79,22,25,8,30,30,66,8
"OTU_101",110,37,432,7,319,66,113,265,21,623,1,3,1,3,58,1,17,0,0,81,27,10,81,5,333,1,8,181,6,97,43,320,95,33,179,1,18,303,26,407,13,19,223,38,374,25
"OTU_3",172,187,55,140,25,17,22,10,7,20,563,821,176,510,1467,3375,1146,524,2223,1706,2606,1962,1799,2551,146,2004,1824,2090,3368,388,1266,1830,1065,1691,26,790,939,371,1285,54,374,159,474,676,80,1
"OTU_360",11,15,9,3,13,18,10,14,11,18,5,4,1,2,3,9,30,1,6,10,10,25,13,13,3,3,14,10,8,7,8,16,14,4,3,6,10,23,3,11,6,7,12,7,17,309
"OTU_3325",19,2,0,3,31,0,0,0,0,3,0,0,0,0,1,0,1,0,3,0,1,2,0,0,2,1,2,0,1,0,3,1,3,0,0,12,29,8,42,26,0,5,18,2,31,0
"OTU_87",177,550,68,94,56,150,44,33,37,52,10,11,2,4,5,40,49,26,42,23,38,86,29,37,1,94,101,25,95,4,96,68,96,85,4,321,132,66,326,31,138,66,85,206,61,254
"OTU_105",68,7,148,10,132,31,60,82,5,186,0,0,0,0,6,0,0,0,0,5,0,0,1,1,102,0,1,8,0,5,14,45,51,4,118,6,16,161,14,158,5,12,89,26,169,0
"OTU_163",60,179,5,25,9,20,9,10,7,19,2,1,0,1,1,13,3,8,33,8,16,65,4,99,2,88,42,10,106,1,42,22,38,88,1,264,62,16,184,1,106,49,26,148,2,0
"OTU_423",8,33,10,3,27,16,7,17,8,24,5,2,2,3,1,5,20,3,3,3,6,17,7,6,1,7,17,6,7,4,2,18,9,7,4,16,13,23,13,8,6,9,16,11,7,235
"OTU_203",32,14,55,16,17,6,21,12,1,35,0,0,0,0,6,0,0,0,0,6,2,3,45,0,36,3,3,56,1,11,14,156,33,32,19,8,15,72,21,35,11,7,93,39,30,0
"OTU_69",315,495,50,194,73,135,49,34,55,66,8,7,1,0,1,39,31,45,75,21,82,303,29,121,2,290,169,39,357,9,124,103,111,192,3,1022,141,66,908,29,352,138,82,396,80,18
"OTU_210",42,110,13,62,23,90,41,33,18,68,0,0,0,0,3,2,3,0,1,0,3,1,1,4,17,21,10,2,2,1,7,13,24,18,7,16,28,16,52,25,47,21,21,143,16,1
"OTU_77",73,86,33,126,57,52,37,19,8,27,5,7,0,0,3,41,33,17,22,35,49,70,27,56,9,132,94,72,137,11,186,72,123,213,7,262,72,75,248,84,139,34,91,160,146,7
"OTU_742",6,1,2,0,11,9,2,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,4,0,9,0,0,3,0,18,0
"OTU_278",32,80,3,18,5,32,7,5,9,4,1,1,0,1,0,3,2,3,17,1,13,21,5,16,0,24,6,6,30,1,18,2,6,20,0,99,15,8,95,4,39,8,9,38,7,0
"OTU_3335",51,43,89,14,38,21,47,23,7,51,3,2,2,5,20,3,13,0,0,22,74,31,103,20,108,10,41,162,18,35,127,252,181,93,37,42,41,136,45,84,96,19,124,82,60,0
"OTU_3255",2,0,1,0,2,1,0,0,0,1,27,6,0,0,0,3,0,2,3,0,0,5,0,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"OTU_443",11,24,0,6,1,7,1,4,1,0,3,0,0,0,0,1,1,1,3,1,4,8,1,16,0,13,4,2,10,0,3,1,7,16,0,26,10,4,61,0,24,6,6,14,3,18
"OTU_2824",1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,3,0,0,0,0,3,0,0,1,0,0
"OTU_542",48,10,8,10,24,21,19,16,6,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,12,5,0,9,0,2,19,1,11,3,4,21,11,29,0
"OTU_588",18,16,1,0,1,5,2,0,4,0,0,0,0,0,0,1,0,0,3,0,2,11,1,3,0,9,1,0,5,0,2,1,2,6,0,21,7,2,19,0,11,5,4,15,0,0
"OTU_1685",135,29,366,21,257,34,69,180,3,317,0,2,0,0,22,0,2,0,1,18,6,4,45,1,621,0,6,203,1,66,41,685,138,39,510,4,14,397,26,457,24,17,345,46,340,2
"OTU_142",54,5,42,8,35,12,29,22,2,43,0,0,2,3,0,1,2,0,1,1,4,1,12,2,70,4,6,36,5,8,48,133,65,41,70,2,7,81,6,62,10,16,87,20,120,0
"OTU_2711",33,117,47,58,81,39,26,13,12,27,9,15,1,3,1,20,39,12,19,22,27,58,15,24,25,68,101,26,87,3,125,47,118,95,22,83,89,72,152,102,57,25,118,114,294,53
"OTU_95",150,105,114,53,191,200,146,128,45,230,0,3,0,1,0,3,15,0,4,2,2,4,13,2,28,4,37,34,8,5,34,71,134,38,39,105,179,101,98,145,79,47,142,120,264,3
"OTU_171",83,32,197,9,45,12,97,61,9,76,3,19,3,6,9,4,29,1,1,28,37,60,89,16,16,2,29,82,4,23,25,154,377,14,23,9,12,200,15,39,14,13,174,11,56,3
"OTU_56",24,87,71,23,19,26,21,7,1,40,98,162,127,118,283,54,108,74,116,98,65,162,135,321,53,262,122,135,223,23,237,164,176,414,24,173,102,45,166,37,121,29,260,195,39,3
"OTU_701",116,38,58,40,206,13,17,46,4,88,543,636,131,304,60,767,245,319,632,384,302,845,140,637,40,282,169,112,376,27,229,147,153,254,18,265,82,108,338,91,102,39,153,167,441,4
"OTU_1003",10,0,2,3,3,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,7,1,3,3,3,16,11,0
"OTU_1355",17,30,21,4,10,10,7,14,3,18,30,19,4,4,2,60,124,23,63,44,67,80,92,42,8,40,68,91,96,17,57,114,54,79,3,36,35,37,24,14,18,11,50,29,22,0
"OTU_1109",29,50,7,20,16,16,4,5,1,12,2,1,1,0,1,3,4,0,4,4,2,11,5,5,2,11,11,7,7,1,19,13,15,11,3,26,14,12,40,11,27,12,24,36,27,21
"OTU_27",218,7,415,35,606,31,98,256,2,530,0,0,0,0,0,1,0,0,0,4,1,0,41,0,600,3,8,127,2,66,48,260,112,48,691,11,27,339,41,834,29,14,323,41,2026,1
"OTU_4984",12,9,1,5,5,1,0,1,7,2,0,0,0,0,0,0,1,1,0,1,1,9,1,3,0,0,5,1,3,0,4,2,0,4,0,11,1,0,14,2,7,2,6,15,1,4
"OTU_865",9,9,5,8,17,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,3,2,3,0,7,5,6,2,1,9,7,6,17,2,3,4,2,11,2,0
"OTU_164",34,21,28,33,32,18,13,12,6,14,0,0,0,0,0,0,13,0,0,2,6,2,33,0,71,1,4,51,3,6,35,105,75,30,87,9,15,68,21,114,18,10,85,54,131,0
"OTU_1106",7,7,3,3,1,2,0,1,1,1,0,0,0,0,0,1,1,0,2,1,2,1,1,3,0,1,2,0,5,1,3,1,2,2,0,14,2,2,4,2,4,2,2,2,3,8
"OTU_555",20,3,1,3,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,1,0,2,1,2,1,0,11,2,3,8,0,11,2,30,11,4,0
