OTU_1142	0.0	76.6	23.0	33.8	21.4	15.0	3.4	4.2	5.2	1.6	k_Fungi;p_Ascomycota;c_Eurotiomycetes;o_Chaetothyriales;f_Herpotrichiellaceae;g_unidentified;s_unidentified
OTU_1056	0.0	0.4	28.6	67.0	105.0	67.6	59.0	66.6	23.4	15.0	k_Fungi;p_unidentified;c_unidentified;o_unidentified;f_unidentified;g_unidentified;s_unidentified
OTU_41	0.0	43.0	113.6	46.4	76.2	54.0	21.0	23.6	14.6	1.6	k_Fungi;p_Ascomycota;c_Dothideomycetes;o_Pleosporales;f_Pleosporaceae;g_Alternaria;s_unidentified
OTU_476	1.0	1.4	16.6	32.0	48.2	47.6	34.8	44.6	13.8	8.8	k_Fungi;p_unidentified;c_unidentified;o_unidentified;f_unidentified;g_unidentified;s_unidentified
OTU_502	0.0	7.0	127.8	284.2	448.0	301.8	272.4	253.6	96.0	73.4	k_Fungi;p_unidentified;c_unidentified;o_unidentified;f_unidentified;g_unidentified;s_unidentified
OTU_361	0.0	0.2	3.4	3.8	2.8	1.6	2.0	1.2	0.8	0.0	k_Fungi;p_unidentified;c_unidentified;o_unidentified;f_unidentified;g_unidentified;s_unidentified
OTU_6	8.0	24.2	138.6	1456.2	2119.2	881.6	461.6	205.6	462.8	157.8	k_Fungi;p_unidentified;c_unidentified;o_unidentified;f_unidentified;g_unidentified;s_Fungi_sp
OTU_999	0.0	7.6	166.8	381.0	450.6	310.2	276.0	239.8	90.8	60.0	k_Fungi;p_unidentified;c_unidentified;o_unidentified;f_unidentified;g_unidentified;s_unidentified
OTU_18	1.0	1008.6	180.4	158.6	108.6	87.8	42.8	33.2	30.2	25.6	k_Fungi;p_Basidiomycota;c_Cystobasidiomycetes;o_Cystobasidiales;f_Cystobasidiaceae;g_unidentified;s_unidentified
OTU_121	0.0	0.0	5.4	18.6	23.0	2.4	10.6	8.4	4.0	0.6	k_Fungi;p_unidentified;c_unidentified;o_unidentified;f_unidentified;g_unidentified;s_unidentified
OTU_634	1.0	9.4	228.6	527.0	708.2	534.4	479.2	478.2	168.4	133.4	k_Fungi;p_unidentified;c_unidentified;o_unidentified;f_unidentified;g_unidentified;s_unidentified
OTU_182	0.0	2.2	81.2	172.6	265.4	192.0	150.8	167.4	62.4	48.2	k_Fungi;p_unidentified;c_unidentified;o_unidentified;f_unidentified;g_unidentified;s_unidentified
OTU_40	4.0	63.8	44.8	99.2	51.8	49.4	22.0	52.0	22.0	5.2	k_Fungi;p_Ascomycota;c_Dothideomycetes;o_Pleosporales;f_unidentified;g_unidentified;s_Pleosporales_sp
